step,entropy,entropy_raw,entropy_max
923,0.761589,2.079415,2.079442
925,0.761575,2.079349,2.079442
931,0.761565,2.079297,2.079442
932,0.761529,2.079118,2.079442
935,0.761533,2.079138,2.079442
936,0.761549,2.079217,2.079442
937,0.761559,2.079266,2.079442
938,0.761558,2.079265,2.079442
939,0.761569,2.079317,2.079442
942,0.761562,2.079282,2.079442
945,0.76153,2.079124,2.079442
951,0.761581,2.079376,2.079442
952,0.761574,2.079344,2.079442
953,0.761566,2.079301,2.079442
954,0.761559,2.079268,2.079442
956,0.761565,2.079295,2.079442
957,0.761564,2.079291,2.079442
974,0.761582,2.079383,2.079442
1005,0.761578,2.079361,2.079442
1022,0.761588,2.07941,2.079442
1026,0.761588,2.079413,2.079442
1036,0.761581,2.079377,2.079442
1039,0.761214,2.077559,2.079442
1040,0.761432,2.078638,2.079442
1042,0.76159,2.079423,2.079442
1043,0.761422,2.078591,2.079442
1044,0.761592,2.079429,2.079442
1046,0.759593,2.069567,2.079442
1047,0.761407,2.078517,2.079442
1048,0.761481,2.078883,2.079442
1049,0.761397,2.078464,2.079442
1050,0.761341,2.078187,2.079442
1051,0.761078,2.076889,2.079442
1052,0.756552,2.054703,2.079442
1053,0.756486,2.054379,2.079442
1054,0.7578,2.060784,2.079442
1055,0.76132,2.078085,2.079442
1056,0.759294,2.068098,2.079442
1057,0.76065,2.074774,2.079442
1058,0.761375,2.078357,2.079442
1059,0.761422,2.078591,2.079442
1061,0.761566,2.079301,2.079442
1062,0.76152,2.079077,2.079442
1063,0.761587,2.079404,2.079442
1064,0.761586,2.079401,2.079442
1065,0.761586,2.079402,2.079442
1066,0.761587,2.079405,2.079442
1067,0.761593,2.079438,2.079442
1068,0.76159,2.079422,2.079442
1069,0.761593,2.079436,2.079442
1070,0.761591,2.079428,2.079442
1071,0.76159,2.079422,2.079442
1072,0.761591,2.079425,2.079442
1073,0.761594,2.079439,2.079442
1076,0.761594,2.079441,2.079442
1079,0.761594,2.079439,2.079442
1080,0.761594,2.079441,2.079442
1081,0.761591,2.079428,2.079442
1082,0.761594,2.079441,2.079442
1083,0.761594,2.07944,2.079442
1084,0.761594,2.079441,2.079442
1085,0.761593,2.079438,2.079442
1086,0.761594,2.079439,2.079442
1087,0.761594,2.079441,2.079442
1088,0.761594,2.079441,2.079442
1089,0.761594,2.079441,2.079442
1091,0.761594,2.079441,2.079442
1093,0.76159,2.079421,2.079442
1094,0.761594,2.079439,2.079442
1095,0.761594,2.079442,2.079442
1096,0.761589,2.079414,2.079442
1097,0.761593,2.079434,2.079442
1100,0.761594,2.079441,2.079442
1101,0.761594,2.079439,2.079442
1102,0.761584,2.079393,2.079442
1103,0.761594,2.079441,2.079442
1104,0.761594,2.079442,2.079442
1105,0.761593,2.079435,2.079442
1106,0.761594,2.079442,2.079442
1107,0.761594,2.079439,2.079442
1108,0.761594,2.079441,2.079442
1110,0.761586,2.0794,2.079442
1111,0.761594,2.079442,2.079442
1112,0.761594,2.079441,2.079442
1113,0.761594,2.079441,2.079442
1115,0.761594,2.079441,2.079442
1116,0.761594,2.079441,2.079442
1117,0.761594,2.079442,2.079442
1119,0.761594,2.07944,2.079442
1120,0.761592,2.079429,2.079442
1122,0.761594,2.079442,2.079442
1123,0.761593,2.079437,2.079442
1124,0.761594,2.079442,2.079442
1125,0.761588,2.079413,2.079442
1127,0.761594,2.079442,2.079442
1128,0.761594,2.079442,2.079442
1129,0.761594,2.079442,2.079442
1130,0.761594,2.079442,2.079442
1131,0.761594,2.079441,2.079442
1133,0.761584,2.07939,2.079442
1134,0.761594,2.079442,2.079442
1135,0.761594,2.079442,2.079442
1136,0.761594,2.079441,2.079442
1139,0.761594,2.079441,2.079442
1140,0.761594,2.079441,2.079442
1141,0.761594,2.079441,2.079442
1142,0.761594,2.079441,2.079442
1143,0.761594,2.079442,2.079442
1145,0.761594,2.079442,2.079442
1146,0.761594,2.079441,2.079442
1148,0.761594,2.079442,2.079442
1149,0.761594,2.079442,2.079442
1150,0.761594,2.079442,2.079442
1153,0.761594,2.079441,2.079442
1155,0.761594,2.079441,2.079442
1156,0.761594,2.079442,2.079442
1157,0.761594,2.079442,2.079442
1158,0.761594,2.079441,2.079442
1159,0.761591,2.079428,2.079442
1160,0.761594,2.079442,2.079442
1162,0.761594,2.079442,2.079442
1165,0.761589,2.079416,2.079442
1166,0.761594,2.079442,2.079442
1167,0.761594,2.079442,2.079442
1168,0.761594,2.079442,2.079442
1169,0.761591,2.079427,2.079442
1170,0.761594,2.079442,2.079442
1171,0.761594,2.079442,2.079442
1172,0.761594,2.079442,2.079442
1174,0.761594,2.079442,2.079442
1175,0.761594,2.079441,2.079442
1176,0.761594,2.079442,2.079442
1177,0.761594,2.079441,2.079442
