turn,lang,lang_id,rule_desc,ce_query,conf_context,zslow_rule_l1,zslow_think_l1,zlang_norm,mem_items
1,en,1,en: reverse tokens then uppercase every 2nd token,3.829,0.3251,4.1005,7.5912,10.8949,4
2,en,1,en: dedupe tokens then wrap digits with [],2.979,0.3602,2.5975,4.9355,10.8949,5
3,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4862,0.3817,3.8983,6.394,10.8949,6
4,base,0,base: add << >> then sort numeric tokens descending,2.73,0.3712,3.2368,5.9859,11.5183,7
5,en,1,en: append #index (1-based) to each token,4.7464,0.276,3.1419,6.0824,10.8949,8
6,en,1,en: build acronym and append token count,4.3447,0.301,4.9036,8.7538,10.8949,9
7,base,0,base: evaluate arithmetic expression,3.4839,0.3471,4.391,8.3256,11.5183,10
8,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.7376,0.326,3.3422,6.0481,11.5183,11
9,base,0,base: factorial -> return n!,2.5842,0.3573,5.0533,6.7051,11.5183,12
10,base,0,base: range -> output span between max and min,4.224,0.2987,4.366,6.6794,11.5183,13
11,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.1075,0.2571,8.7322,14.8862,11.4583,14
12,ko,2,ko: 날짜를 ISO 형태로 변환,1.3262,0.4031,8.1965,14.4278,11.4583,15
13,ko,2,ko: 숫자를 괄호로 감싸기,4.7757,0.2725,10.2103,17.6615,11.4583,16
14,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4849,0.2996,11.7478,20.3776,11.4583,17
15,ja,3,ja: ひらがな を カタカナ に 変換,1.3221,0.4471,8.3531,14.3792,11.3929,18
16,ja,3,ja: カタカナ を ひらがな に 変換,1.7256,0.4119,6.1835,12.2405,11.3929,19
17,ja,3,ja: 半角数字 を 全角 に,3.9794,0.2701,6.0232,12.1172,11.3929,20
18,ko,2,ko:en mix - reverse tokens and uppercase ASCII tokens,4.8537,0.2734,9.0822,17.6039,11.4583,21
19,base,0,base: sort tokens by length ascending,2.9583,0.3592,6.8249,13.6635,11.5183,22
20,en,1,en: keep tokens containing at least two vowels,0.425,0.4381,2.8382,6.2083,10.8949,23
21,en,1,en: reverse tokens then uppercase every 2nd token,3.7996,0.3263,3.8461,8.7627,10.8949,24
22,en,1,en: dedupe tokens then wrap digits with [],2.9844,0.3603,2.599,5.9131,10.8949,25
23,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,2.4885,0.3815,3.6596,6.801,10.8949,26
24,base,0,base: add << >> then sort numeric tokens descending,2.728,0.3712,3.2508,6.4892,11.5183,27
25,en,1,en: append #index (1-based) to each token,4.7369,0.2763,3.1142,6.4371,10.8949,28
26,en,1,en: build acronym and append token count,4.3431,0.301,4.6469,8.9794,10.8949,29
27,base,0,base: evaluate arithmetic expression,3.4699,0.347,4.3828,8.699,11.5183,30
28,base,0,base: sumsq -> output sum of squares as sum=VALUE,3.719,0.3271,3.5934,6.503,11.5183,31
29,base,0,base: factorial -> return n!,2.5221,0.3605,5.6364,7.704,11.5183,32
30,base,0,base: range -> output span between max and min,4.2137,0.2991,4.6973,7.3013,11.5183,33
31,ko,2,ko: 강조된 조사 후 문장 끝에 요 추가,5.0142,0.2622,8.4068,14.458,11.4583,34
32,ko,2,ko: 날짜를 ISO 형태로 변환,1.2947,0.4058,8.333,14.5563,11.4583,35
33,ko,2,ko: 숫자를 괄호로 감싸기,4.719,0.2748,10.2444,17.7489,11.4583,36
34,ko,2,ko: 토큰 순서를 뒤집고 마지막에 입니다 추가,4.4625,0.3003,11.4405,20.0815,11.4583,37
35,ja,3,ja: ひらがな を カタカナ に 変換,1.3054,0.448,8.4675,14.7494,11.3929,38
36,ja,3,ja: カタカナ を ひらがな に 変換,1.7194,0.4122,6.2307,12.3192,11.3929,39
