step,stage,shadow_size,shadow_mean_age,shadow_age_p95,shadow_surprise_mean,shadow_surprise_p75,promote_ratio,decay_freq,skip_count,commit_count,merge_count,near_merge_count,mem_size,wm_curr,recall_topk
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
300,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
300,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
400,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
500,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
300,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
400,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
500,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
600,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
700,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
800,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,3,6
900,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,23,23,6
1000,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,55,6
1100,training,7,68.0,95,0.7407,1.3046,0.0,0,0,0,0,0,111,111,6
1200,training,7,168.0,195,0.7407,1.3046,0.0,0,0,0,0,0,195,195,6
1300,training,7,268.0,295,0.7407,1.3046,0.0,0,0,0,0,0,280,280,6
1400,training,7,368.0,395,0.7407,1.3046,0.0,0,0,0,0,0,374,374,6
1500,training,7,468.0,495,0.7407,1.3046,0.0,0,0,0,0,0,459,459,6
1600,training,7,568.0,595,0.7407,1.3046,0.0,0,0,0,0,0,537,537,6
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
300,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
400,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
500,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
600,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
700,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
800,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
900,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,5,6
1000,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21,21,6
1100,training,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,102,102,6
1200,training,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,189,189,6
1300,training,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,272,272,6
1400,training,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,344,344,6
1500,training,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,417,417,6
100,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
200,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
300,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
400,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
500,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
600,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
700,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
800,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
900,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
1000,warmup,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6
1100,training,15,39.8667,76,0.1542,0.1967,0.0,0,0,0,0,0,12,12,6
1200,training,49,63.6122,143,0.0696,0.0843,0.0,0,0,0,0,0,40,40,6
1300,training,48,78.8958,180,0.0574,0.0689,0.0,0,0,0,0,0,59,59,6
1400,training,89,109.0225,252,0.0348,0.0527,0.0,0,0,0,0,0,79,79,6
1500,training,89,122.6404,299,0.0268,0.0381,0.0,0,0,0,0,0,100,100,6
1600,training,77,156.8052,388,0.0306,0.0414,0.0,0,0,0,0,0,120,120,6
1700,training,74,164.3649,470,0.0219,0.0294,0.0,0,0,0,0,0,139,139,6
1800,training,67,176.4328,532,0.0184,0.0244,0.0,0,0,0,0,0,158,158,6
1900,training,59,201.5593,582,0.0229,0.0244,0.0,0,0,0,0,0,178,178,6
2000,training,52,149.4423,564,0.0176,0.0229,0.0,0,0,0,0,0,197,197,6
2100,training,90,165.2667,563,0.0209,0.0249,0.0,0,0,0,0,0,216,216,6
2200,training,84,139.3452,306,0.0246,0.0317,0.0,0,0,0,0,0,237,237,6
2300,training,71,135.8169,400,0.0189,0.0249,0.0,0,0,0,0,0,257,257,6
